Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry,Year
Besant Nagar,Tamil Nadu,Chennai,CGWB,2008-05-15,4.34,13.00138889,80.27,2,2008
Alwarpet,Tamil Nadu,Chennai,CGWB,2008-05-15,3.12,13.025,80.25833333,2,2008
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2008-05-15,3.65,13.10555556,80.28138889,2,2008
Vepery,Tamil Nadu,Chennai,CGWB,2008-05-15,5.51,13.08333333,80.27083333,2,2008
Tondiarpet,Tamil Nadu,Chennai,CGWB,2008-05-15,3.55,13.11666667,80.275,2,2008
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2008-08-25,4.08,13.10555556,80.28138889,2,2008
Vepery,Tamil Nadu,Chennai,CGWB,2008-08-25,4.85,13.08333333,80.27083333,2,2008
Chepauk (A),Tamil Nadu,Chennai,CGWB,2008-08-25,2.0,13.05555556,80.28138889,2,2008
Besant Nagar,Tamil Nadu,Chennai,CGWB,2008-08-25,4.9,13.00138889,80.27,2,2008
Alwarpet,Tamil Nadu,Chennai,CGWB,2008-08-25,2.78,13.025,80.25833333,2,2008
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2008-08-25,4.69,13.02222222,80.225,2,2008
Tondiarpet,Tamil Nadu,Chennai,CGWB,2008-08-25,4.16,13.11666667,80.275,2,2008
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2008-08-25,1.97,13.04166667,80.20833333,2,2008
Besant Nagar,Tamil Nadu,Chennai,CGWB,2008-11-05,3.9,13.00138889,80.27,2,2008
Chepauk (A),Tamil Nadu,Chennai,CGWB,2008-11-05,3.1,13.05555556,80.28138889,2,2008
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2008-11-05,2.36,13.02222222,80.225,2,2008
Tondiarpet,Tamil Nadu,Chennai,CGWB,2008-11-05,2.4,13.11666667,80.275,2,2008
Vepery,Tamil Nadu,Chennai,CGWB,2008-11-05,4.67,13.08333333,80.27083333,2,2008
Chepauk (A),Tamil Nadu,Chennai,CGWB,2009-01-05,1.7,13.05555556,80.28138889,2,2009
Alwarpet,Tamil Nadu,Chennai,CGWB,2009-01-05,1.72,13.025,80.25833333,2,2009
Vepery,Tamil Nadu,Chennai,CGWB,2009-01-05,5.23,13.08333333,80.27083333,2,2009
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2009-01-05,1.9,13.10555556,80.28138889,2,2009
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2009-01-05,1.6,13.04166667,80.20833333,2,2009
Tondiarpet,Tamil Nadu,Chennai,CGWB,2009-01-05,1.9,13.11666667,80.275,2,2009
Tondiarpet,Tamil Nadu,Chennai,CGWB,2009-05-15,2.95,13.11666667,80.275,2,2009
Besant Nagar,Tamil Nadu,Chennai,CGWB,2009-05-15,4.8,13.00138889,80.27,2,2009
Vepery,Tamil Nadu,Chennai,CGWB,2009-05-15,8.6,13.08333333,80.27083333,2,2009
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2009-05-15,3.08,13.04166667,80.20833333,2,2009
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2009-05-15,5.4,13.02222222,80.225,2,2009
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2009-05-15,4.25,13.10555556,80.28138889,2,2009
Alwarpet,Tamil Nadu,Chennai,CGWB,2009-05-15,8.6,13.025,80.25833333,2,2009
Vepery,Tamil Nadu,Chennai,CGWB,2009-08-25,11.3,13.08333333,80.27083333,2,2009
Tondiarpet,Tamil Nadu,Chennai,CGWB,2009-08-25,5.8,13.11666667,80.275,2,2009
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2009-08-25,4.4,13.04166667,80.20833333,2,2009
Besant Nagar,Tamil Nadu,Chennai,CGWB,2009-08-25,4.85,13.00138889,80.27,2,2009
Chepauk (A),Tamil Nadu,Chennai,CGWB,2009-08-25,2.1,13.05555556,80.28138889,2,2009
Alwarpet,Tamil Nadu,Chennai,CGWB,2009-08-25,3.15,13.025,80.25833333,2,2009
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2009-11-05,4.95,13.10555556,80.28138889,2,2009
Vepery,Tamil Nadu,Chennai,CGWB,2009-11-05,5.2,13.08333333,80.27083333,2,2009
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2009-11-05,2.35,13.04166667,80.20833333,2,2009
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2009-11-05,0.53,13.02222222,80.225,2,2009
Besant Nagar,Tamil Nadu,Chennai,CGWB,2009-11-05,2.2,13.00138889,80.27,2,2009
Alwarpet,Tamil Nadu,Chennai,CGWB,2009-11-05,1.3,13.025,80.25833333,2,2009
Tondiarpet,Tamil Nadu,Chennai,CGWB,2009-11-05,4.88,13.11666667,80.275,2,2009
Vepery,Tamil Nadu,Chennai,CGWB,2010-01-05,5.2,13.08333333,80.27083333,2,2010
Besant Nagar,Tamil Nadu,Chennai,CGWB,2010-01-05,3.13,13.00138889,80.27,2,2010
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2010-01-05,1.5,13.02222222,80.225,2,2010
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2010-01-05,1.0,13.04166667,80.20833333,2,2010
Tondiarpet,Tamil Nadu,Chennai,CGWB,2010-01-05,3.9,13.11666667,80.275,2,2010
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2010-01-05,4.92,13.10555556,80.28138889,2,2010
Alwarpet,Tamil Nadu,Chennai,CGWB,2010-05-15,2.71,13.025,80.25833333,2,2010
