Station Name,State Name,District Name,Basin Name,Sub Basin Name,Agency Name,Date Collection,Total Alkalinity (mg/L),Arsenic (mg/L),Calcium (mg/L),Chloride (mg/L),Carbonate (mg/L),Electrical Conductivity (mumhos/cm) at 25 C),Fluoride (mg/L),Iron (mg/L),Total Hardness (mg/L),Bicarbonate (mg/L),Potassium (mg/L),Magnesium (mg/L),Sodium (mg/L),Nitrate (mg/L),"Phosphorus, ortho-phosphate (mg/L)",pH2,Residual Sodium Carbonate,Sodium Absorption Ratio,Silicate (SiO2) (mg/L),Sulphate (mg/L),Total Dissolved Solids (mg/L),Uranium,Latitude,Longitude
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,0.0,2000.0,0.8,,,0.0,,,,13.0,,7.7,0.0,,,0.0,,,12.98016545,80.22285056225584
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1720.0,0.78,,,,,,,,,7.94,0.0,,,,,,13.11666667,80.275
Vyasarpadi,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1730.0,0.64,,,,,,,,,7.84,0.0,,,,,,13.1169726,80.2571242
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,0.0,2000.0,0.8,,,0.0,,,,13.0,,7.7,0.0,,,0.0,,,12.98016545,80.22285056225584
Vyasarpadi,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1730.0,0.64,,,,,,,,,7.84,0.0,,,,,,13.1169726,80.2571242
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,1720.0,0.67,,,,,,,,,7.67,0.0,,,,,,13.04166667,80.20833333
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,0.0,2000.0,0.8,,,0.0,,,,13.0,,7.7,0.0,,,0.0,,,12.98016545,80.22285056225584
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,1720.0,0.67,,,,,,,,,7.67,0.0,,,,,,13.04166667,80.20833333
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,709.0,,2550.0,0.62,,,,,,,40.0,,7.73,0.0,,,,,,13.05555556,80.28138889
Vyasarpadi,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1730.0,0.64,,,,,,,,,7.84,0.0,,,,,,13.1169726,80.2571242
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,910.0,0.8,,,,,,,9.0,,8.07,0.0,,,,,,9.8238241,77.9862243
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,709.0,,2550.0,0.62,,,,,,,40.0,,7.73,0.0,,,,,,13.05555556,80.28138889
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,,2000.0,0.8,,,,,,,13.0,,7.7,0.0,,,,,,12.98016545,80.22285056225584
Vyasarpadi,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1730.0,0.64,,,,,,,,,7.84,0.0,,,,,,13.1169726,80.2571242
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,,2000.0,0.8,,,,,,,13.0,,7.7,0.0,,,,,,12.98016545,80.22285056225584
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,230.0,,1950.0,0.62,,,,,,,,,7.94,0.0,,,,,,13.02222222,80.225
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,1720.0,0.67,,,,,,,,,7.67,0.0,,,,,,13.04166667,80.20833333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,1720.0,0.67,,,,,,,,,7.67,0.0,,,,,,13.04166667,80.20833333
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,,2000.0,0.8,,,,,,,13.0,,7.7,0.0,,,,,,12.98016545,80.22285056225584
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,0.0,1720.0,0.78,,,0.0,,,,31.0,,7.94,0.0,,,0.0,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,,1720.0,0.78,,,,,,,,,7.94,0.0,,,,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,0.0,1720.0,0.78,,,0.0,,,,31.0,,7.94,0.0,,,0.0,,,13.11666667,80.275
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,,2000.0,0.8,,,,,,,13.0,,7.7,0.0,,,,,,12.98016545,80.22285056225584
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,230.0,,1950.0,0.62,,,,,,,,,7.94,0.0,,,,,,13.02222222,80.225
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,230.0,,1950.0,0.62,,,,,,,,,7.94,0.0,,,,,,13.02222222,80.225
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,177.0,0.0,1720.0,0.78,,,0.0,,,,31.0,,7.94,0.0,,,0.0,,,13.11666667,80.275
Velachery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,248.0,0.0,2000.0,0.8,,,0.0,,,,13.0,,7.7,0.0,,,0.0,,,12.98016545,80.22285056225584
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2013-05,,,,142.0,,1720.0,0.67,,,,,,,,,7.67,0.0,,,,,,13.04166667,80.20833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,150.0,,32.0,128.0,0.0,832.0,0.45,,150.0,183.0,4.0,17.06,120.0,1.0,,7.02,0.0,4.26,,71.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,519.67,,40.0,1022.0,0.0,5210.0,0.92,,480.0,634.0,9.0,92.44,972.0,,,7.15,0.79,19.3,,480.0,,,13.08333333,80.27083333
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,314.75,,52.0,476.0,0.0,2650.0,1.18,,420.0,384.0,5.0,70.57,413.0,52.0,,6.72,-2.11,8.77,,250.0,,,13.05555556,80.28138889
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,270.0,,52.0,213.0,0.0,1690.0,1.26,,270.0,329.4,3.0,34.1,263.0,,,6.92,0.0,6.96,,220.0,,,13.11666667,80.275
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2014-05,125.41,,28.0,128.0,0.0,728.0,0.38,,210.0,153.0,2.0,34.0,70.0,2.0,,6.93,-1.69,2.1,,45.0,,,13.0721399,80.2205453
